seed,variant,return_pct,max_drawdown,final_net_worth,n_trades,sharpe_like,win_rate
0,DQN,5907.599943690576,0.9832704150421415,5908599.943690576,554,3.7603934736360354,0.52875
1,DQN,2.6749978562269403,0.9934046672372557,3674.9978562269403,467,2.0518451837493794,0.53625
0,DQN+Regime,816.324773141714,0.9151869664694554,817324.773141714,413,3.3959310029494767,0.2725
1,DQN+Regime,49139.877175937225,0.9422202816992529,49140877.17593723,623,3.8561402564167118,0.4975
